sen	Polarity	Sentence
neg	0.288	+ rear camera mi a 🔥 Bad thing that this is now the most affordable phone with no headphone jack Does Apple work on IT ?
neu	0.712	+ rear camera mi a 🔥 Bad thing that this is now the most affordable phone with no headphone jack Does Apple work on IT ?
compound	0.7371	I got the black mi a and I got a smoked gray case IS THE BEST I think I gon na buy this phone ... : This is my phone !
neu	0.808	I got the black mi a and I got a smoked gray case IS THE BEST I think I gon na buy this phone ... : This is my phone !
pos	0.192	I got the black mi a and I got a smoked gray case IS THE BEST I think I gon na buy this phone ... : This is my phone !
compound	0.6369	`` All the nice stuff from '' in what is the sar value of mi a ?
neu	0.714	`` All the nice stuff from '' in what is the sar value of mi a ?
pos	0.286	`` All the nice stuff from '' in what is the sar value of mi a ?
neu	1.0	mi pad U said it is + but it is + rear camera and front What did you think about mi a lite How its not lite if it .
compound	-0.25	Other review i am sick man now its therapy channel Z and cool Try to compare it to pro m .. same mid range phone ..
neg	0.124	Other review i am sick man now its therapy channel Z and cool Try to compare it to pro m .. same mid range phone ..
neu	0.789	Other review i am sick man now its therapy channel Z and cool Try to compare it to pro m .. same mid range phone ..
pos	0.086	Other review i am sick man now its therapy channel Z and cool Try to compare it to pro m .. same mid range phone ..
neu	1.0	The ?
neu	1.0	C ' mon us some on the headphone sound quality .
neu	1.0	Everyone their for music and none of these any information on the audio quality through .
compound	-0.4019	Damn .
neg	1.0	Damn .
compound	0.5719	Poco Phone is much better Deal than the Mi A 😝😝 Used essential phone or used v And i think that the its better than how i think @ me I ' m that you do n ' t mention anything about the battery problem look up the about this phone it the battery like no other phone Hay .. Just want to say man ...
neg	0.077	Poco Phone is much better Deal than the Mi A 😝😝 Used essential phone or used v And i think that the its better than how i think @ me I ' m that you do n ' t mention anything about the battery problem look up the about this phone it the battery like no other phone Hay .. Just want to say man ...
neu	0.772	Poco Phone is much better Deal than the Mi A 😝😝 Used essential phone or used v And i think that the its better than how i think @ me I ' m that you do n ' t mention anything about the battery problem look up the about this phone it the battery like no other phone Hay .. Just want to say man ...
pos	0.151	Poco Phone is much better Deal than the Mi A 😝😝 Used essential phone or used v And i think that the its better than how i think @ me I ' m that you do n ' t mention anything about the battery problem look up the about this phone it the battery like no other phone Hay .. Just want to say man ...
compound	0.3182	Your doing the move to pro please What did you mean about I meet a bunch of `` you '' ?
neu	0.881	Your doing the move to pro please What did you mean about I meet a bunch of `` you '' ?
pos	0.119	Your doing the move to pro please What did you mean about I meet a bunch of `` you '' ?
neu	1.0	When I watched this video I was so , and I really to buy the phone .
compound	0.8885	I was like wow everyone ' s saying is a best - buy .
neu	0.323	I was like wow everyone ' s saying is a best - buy .
pos	0.677	I was like wow everyone ' s saying is a best - buy .
neu	1.0	And it really is .
compound	0.2006	It ' s a really good phone , mid - range , on smoothly on Medium and minor lag on High .
neg	0.129	It ' s a really good phone , mid - range , on smoothly on Medium and minor lag on High .
neu	0.699	It ' s a really good phone , mid - range , on smoothly on Medium and minor lag on High .
pos	0.172	It ' s a really good phone , mid - range , on smoothly on Medium and minor lag on High .
compound	-0.296	The camera , no .
neg	0.524	The camera , no .
neu	0.476	The camera , no .
compound	0.4927	A really good phone for it ' s price .
neu	0.61	A really good phone for it ' s price .
pos	0.39	A really good phone for it ' s price .
compound	0.5859	The only thing that me is the camera bump , other than that it ' s a amazing .
neu	0.774	The only thing that me is the camera bump , other than that it ' s a amazing .
pos	0.226	The only thing that me is the camera bump , other than that it ' s a amazing .
compound	0.6856	Epic review , but why do u listen to that so weird Love From 🇮🇳 Can you give me one even only the power !
neg	0.097	Epic review , but why do u listen to that so weird Love From 🇮🇳 Can you give me one even only the power !
neu	0.681	Epic review , but why do u listen to that so weird Love From 🇮🇳 Can you give me one even only the power !
pos	0.222	Epic review , but why do u listen to that so weird Love From 🇮🇳 Can you give me one even only the power !
compound	0.3947	I always check your phone because you are very detailed in giving the .
neu	0.805	I always check your phone because you are very detailed in giving the .
pos	0.195	I always check your phone because you are very detailed in giving the .
compound	0.4926	Thanks !
pos	1.0	Thanks !
compound	0.3182	Give the of you have if you r a fan i do n ' t understand how could he took the same all the time Money being equal , Here in S .
neu	0.909	Give the of you have if you r a fan i do n ' t understand how could he took the same all the time Money being equal , Here in S .
pos	0.091	Give the of you have if you r a fan i do n ' t understand how could he took the same all the time Money being equal , Here in S .
neu	1.0	there is a difference between the I ' m going to mention .
compound	0.0258	How would you rank them from best to worst ?
neg	0.268	How would you rank them from best to worst ?
neu	0.458	How would you rank them from best to worst ?
pos	0.275	How would you rank them from best to worst ?
neu	1.0	f ; mi mix s ; mi .
neu	1.0	I never use , or .
compound	0.2732	Camera is important , and I want something that is going to work every time I turn it on without .
neu	0.829	Camera is important , and I want something that is going to work every time I turn it on without .
pos	0.171	Camera is important , and I want something that is going to work every time I turn it on without .
compound	0.4404	Thanks .
pos	1.0	Thanks .
compound	-0.1189	poor people ' s , especially 😂 I ' m the previous version A , and have with camera video recording .
neg	0.228	poor people ' s , especially 😂 I ' m the previous version A , and have with camera video recording .
neu	0.607	poor people ' s , especially 😂 I ' m the previous version A , and have with camera video recording .
pos	0.165	poor people ' s , especially 😂 I ' m the previous version A , and have with camera video recording .
compound	-0.2732	It can sometimes drop frame to and video and audio goes out of sync .
neg	0.139	It can sometimes drop frame to and video and audio goes out of sync .
neu	0.861	It can sometimes drop frame to and video and audio goes out of sync .
compound	-0.4019	that it ' s an OS problem .
neg	0.403	that it ' s an OS problem .
neu	0.597	that it ' s an OS problem .
compound	0.3182	Can anyone suggest a solution ?
neu	0.566	Can anyone suggest a solution ?
pos	0.434	Can anyone suggest a solution ?
compound	0.4404	I think Note Pro is a better phone than this .
neu	0.707	I think Note Pro is a better phone than this .
pos	0.293	I think Note Pro is a better phone than this .
neu	1.0	Specially with the RAM .
compound	0.8832	what about too stock better built quality I ' m just saying 😃 Yes i have a better !
neu	0.535	what about too stock better built quality I ' m just saying 😃 Yes i have a better !
pos	0.465	what about too stock better built quality I ' m just saying 😃 Yes i have a better !
neu	1.0	Its the M Pro variant !
compound	0.54	Have have used both of them and I feel the is quite better !
neu	0.759	Have have used both of them and I feel the is quite better !
pos	0.241	Have have used both of them and I feel the is quite better !
compound	0.4404	Is android one good ?
neu	0.508	Is android one good ?
pos	0.492	Is android one good ?
neu	1.0	Should I get Mi a or the S ?
compound	0.296	I love how Unbox Therapy is n ' t a Phone Snob .
neg	0.246	I love how Unbox Therapy is n ' t a Phone Snob .
neu	0.41	I love how Unbox Therapy is n ' t a Phone Snob .
pos	0.344	I love how Unbox Therapy is n ' t a Phone Snob .
compound	0.3612	Like just because it is n ' t a premium phone , or a high end brand , does n ' t mean it being down on .
neu	0.865	Like just because it is n ' t a premium phone , or a high end brand , does n ' t mean it being down on .
pos	0.135	Like just because it is n ' t a premium phone , or a high end brand , does n ' t mean it being down on .
compound	0.0243	of tech and think just because they have experienced real high end they can talk down on .. like they ' re not good enough or something .
neg	0.083	of tech and think just because they have experienced real high end they can talk down on .. like they ' re not good enough or something .
neu	0.83	of tech and think just because they have experienced real high end they can talk down on .. like they ' re not good enough or something .
pos	0.086	of tech and think just because they have experienced real high end they can talk down on .. like they ' re not good enough or something .
neu	1.0	This is Very refreshing .
neu	1.0	watching on my mi a 😉 Watching this on my Mi A , since my also bought pad + .
compound	0.5499	What an experience Android & OS .. stock android is much better is the in the background today Love your but what kind of cheesy site are you sending people to , to buy these ?
neu	0.872	What an experience Android & OS .. stock android is much better is the in the background today Love your but what kind of cheesy site are you sending people to , to buy these ?
pos	0.128	What an experience Android & OS .. stock android is much better is the in the background today Love your but what kind of cheesy site are you sending people to , to buy these ?
neu	1.0	Watching this with my note .
neu	1.0	Little bit old yet still dependable .
compound	-0.3612	Still fighting with its battery .
neg	0.385	Still fighting with its battery .
neu	0.615	Still fighting with its battery .
compound	0.6369	This one is best than p ?
neu	0.488	This one is best than p ?
pos	0.512	This one is best than p ?
compound	0.4932	Come on you should know turn off the in developer will get rid of that another good thing about that phone : it ' s not hard to take to change the battery , .
neu	0.87	Come on you should know turn off the in developer will get rid of that another good thing about that phone : it ' s not hard to take to change the battery , .
pos	0.13	Come on you should know turn off the in developer will get rid of that another good thing about that phone : it ' s not hard to take to change the battery , .
neu	1.0	So why do they call the other one the `` Lite '' version , then ?
compound	-0.2263	Do n ' t forget the phone 😂😂 note or ?
neg	0.241	Do n ' t forget the phone 😂😂 note or ?
neu	0.759	Do n ' t forget the phone 😂😂 note or ?
compound	0.8723	just bought Mi A LOVE IT SO MUCH 😍 Mi A Lite Is paying him Should i buy note or this one Mi a and why ?
neu	0.721	just bought Mi A LOVE IT SO MUCH 😍 Mi A Lite Is paying him Should i buy note or this one Mi a and why ?
pos	0.279	just bought Mi A LOVE IT SO MUCH 😍 Mi A Lite Is paying him Should i buy note or this one Mi a and why ?
neu	1.0	f mi a camera ?
compound	0.8402	I have this phone and it ' s my favorite phone I ' ever had Make on for note pro Check out the Honor play AI it flagship chip with turbo technology .. Mi A or Note ?
neu	0.73	I have this phone and it ' s my favorite phone I ' ever had Make on for note pro Check out the Honor play AI it flagship chip with turbo technology .. Mi A or Note ?
pos	0.27	I have this phone and it ' s my favorite phone I ' ever had Make on for note pro Check out the Honor play AI it flagship chip with turbo technology .. Mi A or Note ?
compound	-0.4019	Is there sill problem with the proximity sensor or it been fixed already ?
neg	0.184	Is there sill problem with the proximity sensor or it been fixed already ?
neu	0.816	Is there sill problem with the proximity sensor or it been fixed already ?
compound	0.9169	Check out the Mi SE , it just more , for that you ' re getting more performance , a glass - metal construction , Super , are way smaller , it ' s quite a bit faster with a better , snapdragon and it does n ' t drop any of the good stuff from the Mi A , it ' s basically the premium version , and it up much better in of value to some .
neg	0.031	Check out the Mi SE , it just more , for that you ' re getting more performance , a glass - metal construction , Super , are way smaller , it ' s quite a bit faster with a better , snapdragon and it does n ' t drop any of the good stuff from the Mi A , it ' s basically the premium version , and it up much better in of value to some .
neu	0.745	Check out the Mi SE , it just more , for that you ' re getting more performance , a glass - metal construction , Super , are way smaller , it ' s quite a bit faster with a better , snapdragon and it does n ' t drop any of the good stuff from the Mi A , it ' s basically the premium version , and it up much better in of value to some .
pos	0.224	Check out the Mi SE , it just more , for that you ' re getting more performance , a glass - metal construction , Super , are way smaller , it ' s quite a bit faster with a better , snapdragon and it does n ' t drop any of the good stuff from the Mi A , it ' s basically the premium version , and it up much better in of value to some .
compound	0.9432	Same with the F , it all the praise but for just a little more money you solve all the that the Poco F , but it ' s so Is it Stock Android U r best Bought the device to try it out , overall a good device but connection is pretty weak while my connection at home is very fast .
neg	0.057	Same with the F , it all the praise but for just a little more money you solve all the that the Poco F , but it ' s so Is it Stock Android U r best Bought the device to try it out , overall a good device but connection is pretty weak while my connection at home is very fast .
neu	0.665	Same with the F , it all the praise but for just a little more money you solve all the that the Poco F , but it ' s so Is it Stock Android U r best Bought the device to try it out , overall a good device but connection is pretty weak while my connection at home is very fast .
pos	0.278	Same with the F , it all the praise but for just a little more money you solve all the that the Poco F , but it ' s so Is it Stock Android U r best Bought the device to try it out , overall a good device but connection is pretty weak while my connection at home is very fast .
compound	-0.2732	All the on this device seem weak while it ' s fine on paper .
neg	0.197	All the on this device seem weak while it ' s fine on paper .
neu	0.68	All the on this device seem weak while it ' s fine on paper .
pos	0.122	All the on this device seem weak while it ' s fine on paper .
compound	0.3612	I tried and and all that but the mobile connection and are on the low end , speed wise .
neg	0.122	I tried and and all that but the mobile connection and are on the low end , speed wise .
neu	0.688	I tried and and all that but the mobile connection and are on the low end , speed wise .
pos	0.19	I tried and and all that but the mobile connection and are on the low end , speed wise .
compound	0.4404	Besides that it ' s a good device .
neu	0.58	Besides that it ' s a good device .
pos	0.42	Besides that it ' s a good device .
neu	1.0	: the rear are and ...
compound	0.8748	It is true that some are more popular in order of the I am watching this review because I am in and it a great option for me while I am here .
neu	0.714	It is true that some are more popular in order of the I am watching this review because I am in and it a great option for me while I am here .
pos	0.286	It is true that some are more popular in order of the I am watching this review because I am in and it a great option for me while I am here .
compound	0.4404	Thanks for the review .
neu	0.508	Thanks for the review .
pos	0.492	Thanks for the review .
compound	0.4404	Good Deal ...
neu	0.408	Good Deal ...
pos	0.592	Good Deal ...
neu	1.0	I ’ m in !
compound	-0.2732	The rear camera is + for low light U need to try note pro It plus camera Good but with all the around and jumpy I ' m gon na need therapy myself .
neg	0.131	The rear camera is + for low light U need to try note pro It plus camera Good but with all the around and jumpy I ' m gon na need therapy myself .
neu	0.806	The rear camera is + for low light U need to try note pro It plus camera Good but with all the around and jumpy I ' m gon na need therapy myself .
pos	0.063	The rear camera is + for low light U need to try note pro It plus camera Good but with all the around and jumpy I ' m gon na need therapy myself .
neu	1.0	Settle down a bit lad .
compound	0.4033	Great camera in a very low budget 😋 : it ' s not + ...
neg	0.145	Great camera in a very low budget 😋 : it ' s not + ...
neu	0.606	Great camera in a very low budget 😋 : it ' s not + ...
pos	0.249	Great camera in a very low budget 😋 : it ' s not + ...
neu	1.0	It ' s + ..
compound	0.0772	I WANT THAT RIGHT NOW .
neu	0.698	I WANT THAT RIGHT NOW .
pos	0.302	I WANT THAT RIGHT NOW .
compound	0.8739	you could put a small mirror behind your hand while you try the fingerprint , it would just be more convenient and classy : D I also do Name of song he in every video , it ' s too soothing and calm music apple : buy phone just to watch all day Lew .
neu	0.789	you could put a small mirror behind your hand while you try the fingerprint , it would just be more convenient and classy : D I also do Name of song he in every video , it ' s too soothing and calm music apple : buy phone just to watch all day Lew .
pos	0.211	you could put a small mirror behind your hand while you try the fingerprint , it would just be more convenient and classy : D I also do Name of song he in every video , it ' s too soothing and calm music apple : buy phone just to watch all day Lew .
compound	-0.3804	I am quite confused been for a long time and i feel they are over priced for nothing .
neg	0.156	I am quite confused been for a long time and i feel they are over priced for nothing .
neu	0.844	I am quite confused been for a long time and i feel they are over priced for nothing .
compound	0.7102	what do you think of the Mi A lite I my mobile to and it ' s amazing does this phone do ¡¿¡¿ It ' s really annoying how all these great budget do n ' t have US .
neg	0.079	what do you think of the Mi A lite I my mobile to and it ' s amazing does this phone do ¡¿¡¿ It ' s really annoying how all these great budget do n ' t have US .
neu	0.713	what do you think of the Mi A lite I my mobile to and it ' s amazing does this phone do ¡¿¡¿ It ' s really annoying how all these great budget do n ' t have US .
pos	0.208	what do you think of the Mi A lite I my mobile to and it ' s amazing does this phone do ¡¿¡¿ It ' s really annoying how all these great budget do n ' t have US .
neu	1.0	What shall I buy ?
compound	0.0618	se or A HELP 🙏🙏🙏 I ' m gon na buy one : v it was all great , until there was no , no tap to pay no your phone for casual , making it completely useless .
neg	0.268	se or A HELP 🙏🙏🙏 I ' m gon na buy one : v it was all great , until there was no , no tap to pay no your phone for casual , making it completely useless .
neu	0.507	se or A HELP 🙏🙏🙏 I ' m gon na buy one : v it was all great , until there was no , no tap to pay no your phone for casual , making it completely useless .
pos	0.225	se or A HELP 🙏🙏🙏 I ' m gon na buy one : v it was all great , until there was no , no tap to pay no your phone for casual , making it completely useless .
compound	-0.5563	so angry .
neg	0.782	so angry .
neu	0.218	so angry .
compound	0.34	I have bad experience with getting slow over time and that ' s why I do n ' t trust How is the brightness on it ?
neg	0.138	I have bad experience with getting slow over time and that ' s why I do n ' t trust How is the brightness on it ?
neu	0.63	I have bad experience with getting slow over time and that ' s why I do n ' t trust How is the brightness on it ?
pos	0.232	I have bad experience with getting slow over time and that ' s why I do n ' t trust How is the brightness on it ?
neu	1.0	really dark .
compound	0.2714	I do n ' t know anyone who this one I have a v and % of people do n ' t know what the v - series is what a crazy world Do Honor X !
neg	0.096	I do n ' t know anyone who this one I have a v and % of people do n ' t know what the v - series is what a crazy world Do Honor X !
neu	0.763	I do n ' t know anyone who this one I have a v and % of people do n ' t know what the v - series is what a crazy world Do Honor X !
pos	0.14	I do n ' t know anyone who this one I have a v and % of people do n ' t know what the v - series is what a crazy world Do Honor X !
neu	1.0	what ' s the song you ?
compound	-0.296	I ca n ' t find it Try note No headphone jack tho ?
neg	0.216	I ca n ' t find it Try note No headphone jack tho ?
neu	0.784	I ca n ' t find it Try note No headphone jack tho ?
compound	0.7166	Watching this on MI a I ' m very very very by this certainly seem good enough for me , really me reconsider the much more expensive or Galaxy ' s I was looking a the price the t will cost too o .
neu	0.834	Watching this on MI a I ' m very very very by this certainly seem good enough for me , really me reconsider the much more expensive or Galaxy ' s I was looking a the price the t will cost too o .
pos	0.166	Watching this on MI a I ' m very very very by this certainly seem good enough for me , really me reconsider the much more expensive or Galaxy ' s I was looking a the price the t will cost too o .
compound	0.4404	O You will replace it after week to galaxy s + 😂 Make video on mate pro Do the mi a lite version f or this one ?
neg	0.064	O You will replace it after week to galaxy s + 😂 Make video on mate pro Do the mi a lite version f or this one ?
neu	0.808	O You will replace it after week to galaxy s + 😂 Make video on mate pro Do the mi a lite version f or this one ?
pos	0.128	O You will replace it after week to galaxy s + 😂 Make video on mate pro Do the mi a lite version f or this one ?
compound	0.3612	I have a , would you recommend me it for a MI A ?
neu	0.737	I have a , would you recommend me it for a MI A ?
pos	0.263	I have a , would you recommend me it for a MI A ?
compound	0.4939	Honor / .
pos	1.0	Honor / .
compound	-0.2732	I will prefer the latter no matter what Very rightly said .
neg	0.195	I will prefer the latter no matter what Very rightly said .
neu	0.708	I will prefer the latter no matter what Very rightly said .
pos	0.097	I will prefer the latter no matter what Very rightly said .
neu	1.0	The stock android is a big pull .
neu	1.0	I am to stock android as a user who a dual .
neu	1.0	watching this from my MI A Is it possible to do Calling with it ?
neu	1.0	Mi a and rear camera Where can I find the or video he ' s talking about that ' s ?
compound	0.8376	buy a new phone and confused between A and poco f , so i need help note pro is better G you can get it for used but in great condition .
neg	0.051	buy a new phone and confused between A and poco f , so i need help note pro is better G you can get it for used but in great condition .
neu	0.651	buy a new phone and confused between A and poco f , so i need help note pro is better G you can get it for used but in great condition .
pos	0.297	buy a new phone and confused between A and poco f , so i need help note pro is better G you can get it for used but in great condition .
compound	0.8885	older android , but better + camera is still awesome .
neu	0.387	older android , but better + camera is still awesome .
pos	0.613	older android , but better + camera is still awesome .
compound	0.4404	Better are the .
neu	0.408	Better are the .
pos	0.592	Better are the .
neu	1.0	plus and the note pro Any review of Lew ?
compound	0.4003	Lew is giving us !
neu	0.527	Lew is giving us !
pos	0.473	Lew is giving us !
neu	1.0	try a g Mi A or galaxy s edge .
compound	0.4404	Which is better for buy ?
neu	0.58	Which is better for buy ?
pos	0.42	Which is better for buy ?
compound	0.3182	note pro review please sir Hey do mi S / Y unbox Why do n ' t you do ?
neu	0.839	note pro review please sir Hey do mi S / Y unbox Why do n ' t you do ?
pos	0.161	note pro review please sir Hey do mi S / Y unbox Why do n ' t you do ?
compound	-0.4404	Real me pro is almost performance ... much better the price .. lower than up .. crazy to think that these at this price point would compete and beat some flagship of a few ago and even put up a fight with the new Does this work with at & t ?
neg	0.135	Real me pro is almost performance ... much better the price .. lower than up .. crazy to think that these at this price point would compete and beat some flagship of a few ago and even put up a fight with the new Does this work with at & t ?
neu	0.785	Real me pro is almost performance ... much better the price .. lower than up .. crazy to think that these at this price point would compete and beat some flagship of a few ago and even put up a fight with the new Does this work with at & t ?
pos	0.08	Real me pro is almost performance ... much better the price .. lower than up .. crazy to think that these at this price point would compete and beat some flagship of a few ago and even put up a fight with the new Does this work with at & t ?
neu	1.0	The camera setup is not + instead its + and both lens can be used manually .
compound	-0.2732	The camera binning thing which in low light .
neg	0.231	The camera binning thing which in low light .
neu	0.769	The camera binning thing which in low light .
neu	1.0	Try the Note Pro .
neu	1.0	Similar device , same price point .
neu	1.0	But with a bigger battery and a headphone jack .
compound	0.3119	No Headphone jack sad If it was waterproof then yes , but its not so no .
neg	0.186	No Headphone jack sad If it was waterproof then yes , but its not so no .
neu	0.562	No Headphone jack sad If it was waterproof then yes , but its not so no .
pos	0.251	No Headphone jack sad If it was waterproof then yes , but its not so no .
compound	0.4215	I want access to the headphone jack even if its wet Rear camera is actually + and front camera is Note pro What is card fit for this phone ? '
neu	0.868	I want access to the headphone jack even if its wet Rear camera is actually + and front camera is Note pro What is card fit for this phone ? '
pos	0.132	I want access to the headphone jack even if its wet Rear camera is actually + and front camera is Note pro What is card fit for this phone ? '
compound	0.5734	s own note is a better deal : Expendable Storage , Bigger Battery , Almost as powerful `` Snapdragon `` , no imbalance , better display , almost similar camera experience .. sure it is n ' t Android One .. but there are stock android for it .
neg	0.039	s own note is a better deal : Expendable Storage , Bigger Battery , Almost as powerful `` Snapdragon `` , no imbalance , better display , almost similar camera experience .. sure it is n ' t Android One .. but there are stock android for it .
neu	0.782	s own note is a better deal : Expendable Storage , Bigger Battery , Almost as powerful `` Snapdragon `` , no imbalance , better display , almost similar camera experience .. sure it is n ' t Android One .. but there are stock android for it .
pos	0.179	s own note is a better deal : Expendable Storage , Bigger Battery , Almost as powerful `` Snapdragon `` , no imbalance , better display , almost similar camera experience .. sure it is n ' t Android One .. but there are stock android for it .
neu	1.0	What phone should I get under ?
neu	1.0	Why ca n ' t ' s have android one U can buy any phone but not phone !
neu	1.0	a built in inside its ram .
neu	1.0	thats why it ’ s that cheap !
neu	1.0	what is that music ?
neu	1.0	The one where you were testing the loudness of the .
compound	0.4404	I think note is better just give me phone .
neu	0.707	I think note is better just give me phone .
pos	0.293	I think note is better just give me phone .
compound	0.802	please What about Battery life .. reply honestly Mi a lite was better for me .
neu	0.573	please What about Battery life .. reply honestly Mi a lite was better for me .
pos	0.427	please What about Battery life .. reply honestly Mi a lite was better for me .
neu	1.0	You can use two plus card .
neu	1.0	is n ' t as fast , but I ca n ' t tell the difference .
neu	1.0	Also battery is and it a headphone jack .
compound	0.5023	the notch but I like it .
neu	0.552	the notch but I like it .
pos	0.448	the notch but I like it .
neu	1.0	Does n ' t get in the way come back to Jack !
compound	0.8625	thanks hive about mi note pro So is what review like Try pro it ' s even anyone in the bought this device Love from 🔥🔥🔥🔥 a t with slightly higher price I do n ' t understand why people spend up to £ for a phone when you can spend £ and get a phone of this quality ?
neu	0.821	thanks hive about mi note pro So is what review like Try pro it ' s even anyone in the bought this device Love from 🔥🔥🔥🔥 a t with slightly higher price I do n ' t understand why people spend up to £ for a phone when you can spend £ and get a phone of this quality ?
pos	0.179	thanks hive about mi note pro So is what review like Try pro it ' s even anyone in the bought this device Love from 🔥🔥🔥🔥 a t with slightly higher price I do n ' t understand why people spend up to £ for a phone when you can spend £ and get a phone of this quality ?
neu	1.0	If I order this can i take my card out and put it in from ?
compound	0.6124	Will it work its + not + Try the note mi mix : It ' s + Only a good deal if your a product supporter , in other shove it .
neu	0.8	Will it work its + not + Try the note mi mix : It ' s + Only a good deal if your a product supporter , in other shove it .
pos	0.2	Will it work its + not + Try the note mi mix : It ' s + Only a good deal if your a product supporter , in other shove it .
neu	1.0	Still mi a it ...
compound	0.5992	In love with this phone And still my second choice in the range even after a year of use 😍😍😍 First would be obviously ✌️✌️✌️ U r very serious today I am pro m at I bought it just ago !
neg	0.042	In love with this phone And still my second choice in the range even after a year of use 😍😍😍 First would be obviously ✌️✌️✌️ U r very serious today I am pro m at I bought it just ago !
neu	0.84	In love with this phone And still my second choice in the range even after a year of use 😍😍😍 First would be obviously ✌️✌️✌️ U r very serious today I am pro m at I bought it just ago !
pos	0.118	In love with this phone And still my second choice in the range even after a year of use 😍😍😍 First would be obviously ✌️✌️✌️ U r very serious today I am pro m at I bought it just ago !
compound	0.3612	My had extreme camera its like a professional expensive documentary use X / .
neu	0.783	My had extreme camera its like a professional expensive documentary use X / .
pos	0.217	My had extreme camera its like a professional expensive documentary use X / .
neu	1.0	plus That music sample you put to test the , what song / beat is that !
compound	0.4404	thanks in advance .
neu	0.408	thanks in advance .
pos	0.592	thanks in advance .
compound	0.6808	review Honor play What I the song you used for the sound test ?
neu	0.641	review Honor play What I the song you used for the sound test ?
pos	0.359	review Honor play What I the song you used for the sound test ?
neu	1.0	One should also look at pro m for US and Guess what it a headphone jack and a micro card slot which mi a do n ' t .
compound	0.9699	It ' s also stock Android phone but it ' s not Android one phone and camera is little worse than this but still pretty good for and it snapdragon which is pretty good but behind a little bit in comparison to snapdragon Edit - it a battery so you can go to with this and leave your charger at home 😂 you will not find any power in thought 🤣 : song ?
neg	0.076	It ' s also stock Android phone but it ' s not Android one phone and camera is little worse than this but still pretty good for and it snapdragon which is pretty good but behind a little bit in comparison to snapdragon Edit - it a battery so you can go to with this and leave your charger at home 😂 you will not find any power in thought 🤣 : song ?
neu	0.659	It ' s also stock Android phone but it ' s not Android one phone and camera is little worse than this but still pretty good for and it snapdragon which is pretty good but behind a little bit in comparison to snapdragon Edit - it a battery so you can go to with this and leave your charger at home 😂 you will not find any power in thought 🤣 : song ?
pos	0.266	It ' s also stock Android phone but it ' s not Android one phone and camera is little worse than this but still pretty good for and it snapdragon which is pretty good but behind a little bit in comparison to snapdragon Edit - it a battery so you can go to with this and leave your charger at home 😂 you will not find any power in thought 🤣 : song ?
compound	0.3182	please ?
pos	1.0	please ?
neu	1.0	for me sound does not sound in sync .. Hey Lew update is not out yet .
compound	0.4019	Smart Lock is not working .
neu	0.597	Smart Lock is not working .
pos	0.403	Smart Lock is not working .
neu	1.0	And specially fingerprint all locked at % clock speed .
compound	0.4404	So was with disabled fingerprint in order to get a good battery life .
neu	0.791	So was with disabled fingerprint in order to get a good battery life .
pos	0.209	So was with disabled fingerprint in order to get a good battery life .
compound	-0.4215	were but no response from Mi yet Note pro How ' s Mi A to .
neg	0.203	were but no response from Mi yet Note pro How ' s Mi A to .
neu	0.797	were but no response from Mi yet Note pro How ' s Mi A to .
neu	1.0	Plus and One Power ?
neu	1.0	All three of them are Android One powered and priced at around US + .
compound	0.1027	watching this on mi x 😭😭😭😭 No one can challenge mi with the price range Hey do the video of note Please , have never seen being unboxed reason ?
neg	0.074	watching this on mi x 😭😭😭😭 No one can challenge mi with the price range Hey do the video of note Please , have never seen being unboxed reason ?
neu	0.805	watching this on mi x 😭😭😭😭 No one can challenge mi with the price range Hey do the video of note Please , have never seen being unboxed reason ?
pos	0.121	watching this on mi x 😭😭😭😭 No one can challenge mi with the price range Hey do the video of note Please , have never seen being unboxed reason ?
neu	1.0	I got the other version .
compound	-0.6124	Mi A Lite , I am it right now .. 😃 Song name any I am a mi user mi is the worst company I had ever used i becomes heat and lag very much during gaming Is .
neg	0.159	Mi A Lite , I am it right now .. 😃 Song name any I am a mi user mi is the worst company I had ever used i becomes heat and lag very much during gaming Is .
neu	0.78	Mi A Lite , I am it right now .. 😃 Song name any I am a mi user mi is the worst company I had ever used i becomes heat and lag very much during gaming Is .
pos	0.061	Mi A Lite , I am it right now .. 😃 Song name any I am a mi user mi is the worst company I had ever used i becomes heat and lag very much during gaming Is .
neu	1.0	batter then it ?
compound	0.4404	Which one is better ... Mi A or Mi A ?
neu	0.707	Which one is better ... Mi A or Mi A ?
pos	0.293	Which one is better ... Mi A or Mi A ?
compound	0.5106	Can you trust that link ?
neu	0.548	Can you trust that link ?
pos	0.452	Can you trust that link ?
compound	0.872	I do n ' t have that good of experience with , like stuff normally does n ' t arrive .. Mi a is better because it a headphone jack and the mi a lite a notch Dear Unbox Therapy it is not + it is + Is it the same with note ?
neu	0.763	I do n ' t have that good of experience with , like stuff normally does n ' t arrive .. Mi a is better because it a headphone jack and the mi a lite a notch Dear Unbox Therapy it is not + it is + Is it the same with note ?
pos	0.237	I do n ' t have that good of experience with , like stuff normally does n ' t arrive .. Mi a is better because it a headphone jack and the mi a lite a notch Dear Unbox Therapy it is not + it is + Is it the same with note ?
compound	0.6369	I have mi a Three best mid range - .
neu	0.543	I have mi a Three best mid range - .
pos	0.457	I have mi a Three best mid range - .
compound	0.6808	Honor Play .
pos	1.0	Honor Play .
